id_wad,award_year,wad_title,iwad,num_levels,single_player,cooperative,deathmatch,skill_levels,size_mb,download_url
0046,2008,Back to Basics,Doom,9,TRUE,FALSE,FALSE,FALSE,1.35,www.doomworld.com/idgames/levels/doom/a-c/b2b
0047,2008,BGPA Missions: Liberation,Doom 2,5,TRUE,FALSE,FALSE,TRUE,34.79,www.doomworld.com/idgames/levels/doom2/Ports/m-o/njbgpabh
0048,2008,Chex Quest 3,NULL,NULL,TRUE,TRUE,NULL,NULL,8.3,www.chucktropolis.com/downloads/ChexQuest3.zip
0049,2008,Escape from Castle Chezcrea,Doom 2,1,TRUE,FALSE,FALSE,TRUE,0.66,www.doomworld.com/idgames/levels/doom2/Ports/a-c/crea_one
0050,2008,Cold as Hell,Doom 2,17,TRUE,FALSE,FALSE,TRUE,45.99,www.doomworld.com/idgames/levels/doom2/Ports/a-c/cah_se
0051,2009,Hell Ground,Doom 2,7,TRUE,FALSE,FALSE,TRUE,47.45,www.doomworld.com/idgames/levels/doom2/Ports/g-i/hg
0052,2009,New Doom Community Project II,Doom 2,32,TRUE,FALSE,FALSE,TRUE,18.97,www.doomworld.com/idgames/levels/doom2/Ports/megawads/ndcp2
0053,2009,Harmony,(STANDALONE),11,TRUE,NULL,NULL,NULL,42,heroestospare.com/rabotik/harmony.php
0054,2009,Mapgame,Doom,9,TRUE,FALSE,FALSE,TRUE,1.73,www.doomworld.com/idgames/levels/doom/Ports/m-o/mapgame
0055,2009,Legacy of Suffering,Doom 2,10,TRUE,TRUE,TRUE,TRUE,87.82,www.doomworld.com/idgames/levels/doom2/Ports/j-l/los
0056,2009,Tribute,Doom 2,4,TRUE,TRUE,FALSE,TRUE,40.07,www.doomworld.com/idgames/levels/doom2/Ports/s-u/tribute
0057,2009,Ghouls vs Humans,Doom 2,10,FALSE,FALSE,TRUE,FALSE,24.64,www.doomworld.com/idgames/deathmatch/skulltag/gvh
0058,2009,Whispers of Satan,Doom 2,35,TRUE,FALSE,FALSE,TRUE,10.9,www.doomworld.com/idgames/levels/doom2/Ports/megawads/wos
0059,2009,Demons of Problematique 2,Doom 2,5,TRUE,FALSE,FALSE,TRUE,9.26,www.doomworld.com/idgames/levels/doom2/Ports/d-f/dop2
0060,2009,Plutonia 2,Doom 2,32,TRUE,TRUE,TRUE,TRUE,5.13,www.doomworld.com/idgames/levels/doom2/megawads/pl2
0061,2010,No Rest for the Living,Doom 2,9,TRUE,NULL,NULL,NULL,NULL,https://www.gog.com/game/doom_3_bfg_edition
0062,2010,Arcadia Demade,Doom 2,1,TRUE,TRUE,TRUE,TRUE,0.61,www.doomworld.com/idgames/levels/doom2/Ports/a-c/arcadia
0063,2010,Curse of D'sparil,Heretic,9,TRUE,TRUE,FALSE,TRUE,4.55,www.doomworld.com/idgames/levels/heretic/Ports/curse
0064,2010,UAC Ultra,Doom 2,12,TRUE,TRUE,FALSE,TRUE,2.2,www.doomworld.com/idgames/levels/doom2/Ports/s-u/uacultra
0065,2010,Unloved,Doom 2,5,TRUE,FALSE,FALSE,TRUE,40.93,www.doomworld.com/idgames/levels/doom2/Ports/s-u/unloved
0066,2010,Valhalla,Doom 2,1,TRUE,TRUE,FALSE,TRUE,8.83,www.doomworld.com/idgames/levels/doom2/Ports/m-o/ma_val
0067,2010,Speed of Doom,Doom 2,33,TRUE,TRUE,FALSE,TRUE,8.83,www.doomworld.com/idgames/levels/doom2/Ports/megawads/sodfinal
